"SA3_CODE21","AREASQKM21","BRNFRQS","FIREIND"
10102,6511.3971,39,0.598949801418193
10103,14284.5857,63,0.441034842193568
10104,9864.4876,243,2.46338187905472
10105,9099.9087,16,0.175825939880034
10106,12135.8653,40,0.329601548889967
10201,988.3863,9,0.910575146579834
10202,692.6225,1,0.144378792199214
10301,6984.1829,12,0.171816806229402
10302,41000.7206,233,0.568282695011951
10303,16044.6243,162,1.00968397246921
10304,6267.5322,6,0.0957314587071448
10401,9263.194,167,1.80283388213612
10402,3966.5637,28,0.705900676699078
10501,162762.4085,183,0.11243382405465
10502,146854.847,17,0.0115760564579799
10503,29738.3906,87,0.292551137585771
10601,8566.7812,76,0.887147672220227
10603,1071.9768,8,0.746284807656285
10604,11472.4168,53,0.461977636656297
10702,744.3423,5,0.671733958959473
10801,3133.0446,9,0.287260513303896
10802,5339.3246,72,1.34848516233682
10804,3687.7694,36,0.976199867594758
10805,6675.0682,74,1.10860290536058
10901,5597.0037,30,0.536001075003756
10902,63967.8828,31,0.048461819655535
10903,28231.6033,101,0.35775509781267
11001,16395.6494,137,0.835587518723107
11002,30566.4425,164,0.536536104913092
11003,32022.7204,103,0.321646626874336
11004,20155.0876,26,0.128999687403988
11101,138.0853,1,0.72419004774585
11102,507.6329,1,0.196992748105964
11201,1572.9178,13,0.826489470714871
11202,7390.617,52,0.703594841946214
11301,28859.6888,106,0.367294327858449
11302,9174.7261,162,1.76572028673423
11303,18950.5656,145,0.765148666591777
11401,4374.9473,105,2.40002891006253
11402,2330.0146,23,0.987118278142978
11502,569.2386,1,0.175673258981383
11503,2492.0101,69,2.76884913106893
12302,333.0123,1,0.300289208536742
12303,870.3606,6,0.689369440666317
12401,942.4079,24,2.54666795556362
12402,2456.9093,63,2.56419722128123
12403,356.859,1,0.280222721018666
12404,178.8386,1,0.559163402084337
12802,240.2473,3,1.24871330499864
20102,3666.673,1,0.0272726801653706
20103,6172.454,32,0.518432377138817
20203,7633.5241,5,0.0655005464645091
20301,2579.8387,12,0.465145359669192
20303,929.969,1,0.107530466069299
20401,13959.3184,6,0.0429820413008131
20402,6545.573,6,0.0916650077846508
20403,13501.5851,155,1.14801335437274
20501,3933.8416,9,0.228783995776546
20502,21713.2073,431,1.98496700208817
20504,1479.6675,2,0.135165501708999
20505,10044.7738,66,0.657058101198854
20904,997.4395,5,0.501283536495196
21002,992.1072,6,0.604773355137429
21004,260.6846,1,0.383605322293684
21201,1282.3263,5,0.389916357482491
21501,38139.6815,154,0.403778935594939
21502,22081.9206,22,0.0996290150594962
21503,17851.3822,7,0.0392126498753693
21601,4554.7835,5,0.109774701695481
21602,4045.9201,28,0.692055189127437
21603,2333.1625,2,0.0857205616839804
21701,12946.3914,29,0.224000643144467
21703,7936.5546,26,0.327598073854365
21704,5496.1771,9,0.163750181921903
30102,480.9782,3,0.623728892494504
30602,633.4764,1,0.157859077307379
30603,5995.1825,2,0.0333601187286626
30604,2421.0913,7,0.289125816940485
30605,12127.9126,184,1.51716132914744
30701,141260.7719,318,0.225115575770119
30702,16653.3006,42,0.252202257130938
30703,8432.5913,14,0.166022513150851
30801,60225.3937,464,0.770439131226468
30803,18328.1353,334,1.82233486676629
30804,28550.1865,187,0.654986964796185
30805,10484.2861,122,1.16364623052398
30904,828.0472,1,0.120766062610924
31002,6135.8159,24,0.391146025095049
31101,1628.0297,4,0.24569576341267
31104,582.4333,3,0.515080439253731
31201,79852.7838,307,0.384457479615131
31202,7613.2963,62,0.814364731870478
31203,2674.1083,9,0.336560789254497
31301,255.4465,1,0.391471403992617
31303,3388.2853,35,1.03297086582408
31305,213.5896,3,1.40456276897377
31501,250877.5631,13229,5.27309012274123
31502,307081.5221,4191,1.36478416914816
31503,625216.0427,448,0.0716552310566614
31602,113.1063,2,1.76824809935432
31608,820.066,5,0.609707023581029
31701,2258.7953,8,0.354171092883007
31801,76209.8055,470,0.616718540240862
31802,3826.2923,42,1.09766836161472
31901,3786.0985,14,0.36977379220324
31902,30736.8312,185,0.601883775188901
31903,6975.2345,35,0.501775244975635
31904,251.5566,2,0.795049702532154
31905,6752.9517,91,1.34755887562471
40102,1388.1169,10,0.720400421607143
40201,306.865,1,0.32587619963176
40202,356.8037,1,0.280266151948536
40501,2837.1519,8,0.281972917981586
40502,13728.9588,19,0.138393597626646
40503,14409.4799,14,0.0971582603755185
40504,6740.7943,21,0.31153598619676
40601,235294.8179,275,0.11687465217227
40602,642477.7578,457,0.0711308670925635
40701,7363.5869,84,1.14074840347168
40702,21336.388,75,0.351512167851466
40703,36782.5988,65,0.176713995532039
50101,3664.3233,23,0.627673873645374
50102,5449.5137,64,1.17441671905513
50103,15688.5749,134,0.854124742713247
50402,685.4311,5,0.729467921721089
50403,1032.3315,8,0.774944869937612
50503,684.2006,6,0.876935799237826
50601,559.5258,10,1.78722768458577
50605,283.8001,2,0.704721386637989
50606,904.7635,7,0.773682846401297
50901,37888.1495,158,0.417016935598821
50902,110694.5772,518,0.467954269398483
50903,48762.8059,292,0.598817058638539
51001,419245.0882,27448,6.54700574259465
51002,390711.986,9185,2.35083650594738
51003,116066.0889,1630,1.40437229810024
51101,55660.6599,447,0.80308066918912
51102,135064.617,360,0.266539089212388
51103,714524.7709,4505,0.63048898841192
51104,466794.755,1717,0.367827611944783
60106,694.3265,6,0.864146766686854
60202,3978.9607,7,0.175925336482967
60203,15735.6666,32,0.203359672096764
60301,18426.7331,73,0.396163550010935
60302,2192.6815,7,0.319243811743748
60303,3202.6379,4,0.124897041904113
60403,19025.9579,76,0.399454263482839
70103,2938.5111,262,8.91607998349913
70201,569600.4059,6842,1.2011929642482
70202,303211.1804,6369,2.10051621170365
70203,112294.8533,13511,12.0317179309232
70204,33606.5893,2492,7.41521246846671
70205,326253.7608,18555,5.68729076241196
80111,1619.5351,32,1.9758756695054
90103,67.2296,1,1.48744005616574
